X,Y,Z
71.865377,-22.310952,-39.223877
-14.492910,-51.922261,-17.707164
-14.650519,-47.103252,-17.037382
-10.456701,-34.178243,-4.384931
-5.806246,-35.634243,5.957385
-8.629901,-67.798517,0.213982
16.083149,-29.117165,24.285320
7.763005,-14.925559,12.410961
39.887178,-19.036636,-28.269881
79.647822,-40.248369,-14.227664
82.079811,-50.432705,-44.074832
58.684698,-41.546365,10.180051
72.627160,-18.999661,-17.648015
47.674869,-10.766347,-1.517217
67.364440,-31.031532,-48.743459
38.297927,-31.114826,-37.036690
0.749800,-13.311203,-6.629839
81.818541,-52.998453,-32.115637
74.019688,-18.966197,-28.420443
42.847148,-11.135171,-16.288742
-4.218963,-63.784724,9.881850
-10.495599,-64.555529,-10.913909
-6.155040,-69.614593,0.221039
2.794027,-68.177738,13.823175
-11.471681,-75.728449,-6.125916
-8.830320,-73.555072,6.111755
-1.162582,-72.291614,15.910194
5.200262,-78.936301,12.685273
-5.702806,-81.166079,-4.350933
-5.191397,-77.484927,-13.329965
7.894163,-74.064025,6.919923
1.023435,-81.336535,-7.904323
-1.761404,-53.474080,19.459605
22.250350,-49.790308,25.992611
3.048923,-85.360727,-1.891957
30.178269,-11.321344,5.314609
19.365890,-34.197765,-37.764378
23.227575,-9.858600,-11.061626
42.615251,-44.444760,20.161931
57.042985,-22.173595,-33.050778
71.133087,-41.372092,-1.780179
62.200732,-15.636171,-10.418832
53.950000,-30.352786,-40.901600
57.813773,-15.712991,-21.278770
0.876857,-37.656000,-38.430384
-7.105582,-65.458812,-14.557430
-4.168390,-47.276984,-32.784565
27.006721,-60.301077,19.419957
14.373128,-68.590879,10.906874
-12.405183,-40.197207,-12.410113
78.489320,-27.270675,-15.310104
54.097606,-23.256788,7.757885
-2.680301,-44.106410,17.408129
78.875501,-40.878155,-51.065862
87.899650,-26.660326,-46.164269
37.392169,-23.995466,18.261475
68.153517,-25.309852,-3.114253
77.835732,-53.414527,-20.098620
56.237663,-60.847165,4.284998
41.227022,-62.159195,14.381994
68.966246,-56.470371,-7.194267
-0.721834,-58.523203,17.298106
12.000842,-59.351876,17.617126
-13.040877,-60.081990,-15.957645
-11.360094,-57.488745,-22.459138
21.360026,-16.328504,-27.145785
-2.778893,-19.529403,-21.381737
87.980527,-40.189565,-28.915331
92.451927,-42.721949,-37.956754
86.412907,-27.275864,-28.169231
9.311561,-48.281190,-33.777110
0.397549,-64.149456,-25.337245
2.426838,-54.244903,-31.926738
-1.307653,-59.940847,-28.369626
5.659670,-70.875691,-18.888599
12.311483,-72.473796,-1.359010
10.346094,-73.276958,-10.298363
30.293867,-68.839476,5.064915
19.504337,-68.548535,1.774148
19.500231,-69.494616,-10.631507
28.975545,-65.957587,-10.999899
14.357722,-64.687300,-21.514973
24.795404,-62.647802,-21.894460
10.284980,-59.981766,-27.859868
18.112047,-55.290686,-29.273301
65.733455,-56.520794,-38.365631
59.263049,-40.044360,-44.139843
70.102849,-58.955355,-31.676608
62.872098,-47.525376,-43.754615
69.792249,-59.233062,-23.181395
49.485757,-41.605969,-39.812742
64.134443,-63.107758,-17.888179
58.570808,-62.854545,-27.372839
54.796357,-57.779670,-33.850071
51.891940,-49.600647,-37.542422
36.222540,-42.774173,-36.286731
44.946193,-59.147943,-29.497379
48.770734,-65.800479,-22.158662
53.018538,-68.216308,-7.490308
40.442559,-52.504524,-33.873295
40.526047,-68.844179,-0.029884
38.826191,-67.115396,-15.245947
35.282332,-60.688805,-25.878603
30.192127,-53.358649,-30.674285
22.434103,-44.569510,-34.105953
68.778964,-72.884164,-27.111283
-4.729843,-90.264171,-19.073530
-17.023991,-85.726726,-48.367022
-11.340139,-63.948479,-38.154832
-6.859148,-86.438055,-66.397989
51.558799,-84.969859,-9.601900
53.899153,-60.190290,-67.811334
-7.746460,-55.094362,-39.642879
45.562115,-93.347829,-22.455257
-7.042920,-71.317194,-25.643652
7.387201,-111.638833,26.189387
17.931374,-92.895603,34.182567
8.209625,-90.405037,25.094356
-6.334740,-81.666032,-19.651621
5.004264,-121.190249,-3.903604
33.186500,-100.644906,10.911440
-9.058929,-102.636815,-31.841687
70.672363,-69.864784,-39.010917
-5.487551,-96.138289,-22.538416
1.726541,-105.359180,22.092332
3.870263,-97.435705,21.947180
1.640813,-107.928535,-14.938371
25.154338,-112.486962,-3.410242
2.718098,-111.326716,22.049978
13.308412,-105.864429,30.998807
12.617046,-84.721757,29.216137
11.836676,-81.296588,-66.651514
40.415402,-92.192390,1.651820
35.926883,-104.669207,-12.449448
23.378850,-106.550655,-43.422559
61.208647,-77.969386,-18.503011
56.223420,-82.427979,-29.792310
28.762643,-72.496045,-65.420633
61.559616,-70.917132,-50.696331
51.754796,-80.661220,-49.503956
43.673826,-64.043006,-65.930728
-5.429936,-71.622240,-24.066650
33.062683,-38.772983,-48.487096
48.698446,-37.691269,-52.131876
15.342207,-42.439102,-46.819112
-0.636640,-46.730274,-45.280134
64.031311,-41.203223,-58.025590
37.409297,-94.992622,-47.042930
-3.708141,-83.676306,-16.955630
2.522445,-91.129214,-10.560115
76.083771,-64.071980,-25.094926
-3.675699,-110.137923,-61.467462
56.891384,-73.894926,-1.443929
-14.877958,-101.302615,-41.360256
76.615752,-57.718348,-47.479285
78.565163,-63.384345,-34.137074
12.260339,-100.503656,-64.268740
41.685594,-77.089657,8.815378
46.387029,-74.173998,-63.306725
67.329355,-68.757920,-12.895650
58.714239,-65.440068,-64.299250
8.597132,-88.724667,0.511074
29.730057,-87.457992,-63.873481
75.784464,-46.014409,-56.274319
14.545344,-77.891480,14.150411
30.119604,-78.975459,24.416082
-9.827333,-64.304907,-31.807331
-8.279237,-62.788073,-30.952726
3.228436,-60.758470,-38.877879
1.091845,-71.203738,-31.006837
9.204360,-56.721350,-43.836868
-0.799088,-65.256978,-34.753853
6.268821,-78.118789,-21.871108
11.202625,-84.484758,-13.521348
13.541132,-86.475594,-4.414784
21.252867,-84.043204,-0.336944
31.215647,-82.765426,1.855397
20.283778,-80.677511,-15.575544
29.779247,-80.342715,-16.837395
14.180328,-74.165292,-26.284860
23.088184,-73.875242,-30.390358
9.877733,-69.511059,-33.662658
18.805089,-66.568301,-37.632747
57.651490,-48.945654,-51.607456
67.770034,-68.352388,-28.826501
62.866980,-64.113544,-44.782782
68.357572,-67.183577,-35.817690
61.753963,-55.052321,-51.055270
48.229380,-49.331209,-50.573021
62.285626,-72.216920,-23.483018
51.245173,-59.410930,-47.846483
54.659721,-68.271741,-42.142174
58.206032,-71.824914,-33.221290
35.827627,-51.774675,-48.288458
44.474980,-72.594577,-38.835201
48.248322,-76.900349,-27.619311
53.153561,-78.096861,-12.826315
41.046279,-61.824463,-44.197231
42.269469,-80.434919,-4.208559
38.922550,-80.696540,-21.220764
33.590271,-74.870675,-33.776616
29.519176,-64.897985,-40.872891
21.560242,-54.711188,-46.761226
5.001641,-112.035713,-0.282633
22.631086,-107.693079,19.295854
26.356963,-86.133700,28.950164
10.845943,-88.960431,13.281464
14.554015,-119.279330,10.280485
16.898460,-83.135586,21.180681
42.847527,-96.780356,-34.778332
53.764109,-84.069189,-39.444746
29.560333,-108.400707,-28.049015
62.229943,-74.936776,-41.409062
14.985995,-116.525247,-18.861492
6.503848,-115.971365,-36.439020
-11.224938,-112.819074,-50.131366
-16.370672,-88.514628,-58.300499
-1.254612,-64.016240,-56.463142
30.971697,-54.487197,-58.602285
15.336712,-60.742452,-54.911236
45.590426,-51.543729,-61.886642
-16.673613,-75.141102,-44.837444
60.447534,-49.488035,-66.196694
68.380179,-56.103901,-60.606885
70.651351,-61.983439,-49.386609
-12.134366,-70.538062,-51.672897
-2.459717,-121.347517,-28.956666
61.633926,-76.188419,-33.702008
6.799813,-99.323216,2.866414
37.614870,-10.838963,-34.382484
61.795171,-40.923895,19.692208
47.314555,-2.077156,4.154158
34.397362,-22.638001,-44.531969
40.762778,0.252832,-17.929115
30.038860,-2.489768,11.682548
16.201388,-26.122684,-43.321426
19.504976,0.748622,-11.119600
44.982503,-42.915218,31.750251
53.991474,-13.069639,-39.269989
76.130874,-38.889052,6.654121
62.094369,-6.035842,-4.320394
50.969895,-23.096786,-47.835233
56.253164,-3.382770,-23.238191
56.422077,-18.066112,15.954267
37.639612,-19.189384,27.133659
72.991303,-19.877466,4.794439
18.924028,-8.632763,-31.545233
70.141595,-14.951828,-43.696897
86.799836,-38.112040,-9.562956
74.418871,-11.534620,-13.521128
66.797806,-23.987534,-53.856301
76.079603,-9.029198,-30.302089
84.175864,-20.975856,-11.286206
86.814599,-34.050225,-57.199489
93.768745,-23.853646,-46.995139
95.665150,-36.251075,-25.660725
98.980707,-37.747931,-38.458974
93.715369,-21.578885,-29.678305
85.737967,-53.728262,-13.710750
59.832328,-61.191943,13.758968
45.833956,-62.532051,24.369524
74.369893,-56.963343,2.434246
70.465681,-73.516874,-26.094632
52.560953,-86.077842,-7.146300
53.713084,-59.058806,-70.317304
45.920679,-95.836681,-22.108023
72.937427,-70.604139,-38.828053
9.833347,-81.053240,-70.072761
42.165681,-94.171607,3.803495
36.352860,-107.785234,-11.861807
23.998935,-109.885512,-44.199707
62.264956,-79.193324,-16.115826
56.233899,-84.563397,-29.425373
26.785286,-71.627664,-68.555366
62.198671,-73.001355,-51.214676
51.475876,-82.910400,-49.470250
42.280153,-63.345909,-68.730050
31.342145,-36.714512,-51.143899
47.336190,-36.575328,-54.908961
14.319487,-41.298169,-48.767604
63.872666,-40.367145,-61.359080
37.765011,-97.269653,-48.167088
58.719213,-75.464315,0.235746
10.652007,-102.634952,-67.011938
43.662890,-78.887088,11.326235
46.271536,-76.081834,-65.700051
70.032037,-70.999257,-10.786982
58.972233,-66.810122,-67.015874
28.698514,-89.951537,-66.304170
79.731439,-58.992860,-48.443479
78.887061,-46.429624,-59.540567
-5.578235,-90.797650,-18.211717
-9.878951,-68.445870,2.957569
-4.836768,-63.504671,13.721218
-11.685103,-65.669516,-10.510446
-7.911207,-71.175620,-24.570859
-8.606727,-69.795391,2.506432
2.086660,-69.310687,17.209624
6.955011,-88.725560,24.333312
-6.755499,-82.206134,-18.355658
-14.103318,-74.005234,-8.476827
-10.755400,-71.843755,6.489947
-0.157058,-71.893929,18.957047
6.913290,-79.805149,14.550908
-6.046784,-83.739735,-6.033650
-5.936002,-79.192550,-13.857425
8.858777,-74.828455,8.273807
2.615420,-84.942806,-5.748984
-6.723296,-97.302699,-21.357334
0.528764,-105.472368,20.707845
2.857465,-96.517278,21.815671
0.127731,-109.151033,-14.150353
14.195381,-82.379856,28.932658
2.843403,-88.991339,-3.303327
-9.019326,-68.564852,-14.399099
-6.446286,-70.582649,-22.773787
-4.932685,-83.557525,-16.289806
1.444688,-91.127780,-9.083073
13.289415,-70.600073,18.322695
7.558192,-89.152599,2.761108
14.124630,-77.592790,17.901150
-1.160041,-61.084842,21.903837
9.242518,-63.201812,24.265847
-14.623511,-61.174977,-16.599685
-11.049396,-62.840595,-31.122626
-12.922847,-60.292580,-25.440161
-10.469869,-61.543742,-30.814787
-12.970878,-63.020193,-37.763449
-18.761213,-52.364813,-19.828846
-8.916172,-53.239373,-40.810860
-11.809369,-45.535591,-36.522489
20.704430,-91.201601,34.582359
-0.217948,-54.425287,27.456010
22.567264,-47.571555,39.628519
27.437357,-64.316689,32.752025
31.025384,-77.256221,28.389216
-18.482728,-42.721874,-20.177869
-13.032334,-27.832129,-1.330675
-10.248589,-30.729176,10.615956
15.398201,-23.864884,33.538526
4.917779,-6.646735,18.819927
-3.196829,-4.566833,-4.992277
-5.474146,-30.870507,-42.277928
-17.727546,-34.233671,-15.773160
-4.326858,-36.501851,25.050580
-7.722337,-12.778766,-24.749844
-19.851384,-86.941711,-51.230358
-9.080909,-86.463449,-70.504478
-4.135031,-124.810926,-28.076240
-11.018565,-105.503477,-30.387405
-1.908122,-45.971270,-46.849235
-5.457643,-113.177648,-64.350466
-17.112053,-103.888809,-40.468023
8.332871,-113.417275,27.132216
34.321255,-104.587412,12.789078
25.409725,-115.382536,-3.667934
1.333497,-112.861311,21.116104
14.641876,-107.080867,32.155120
3.536779,-112.211371,-0.769078
9.741284,-88.642663,11.186511
5.500921,-98.139116,3.134176
16.235230,-81.352935,21.912077
23.544131,-111.183585,20.566004
28.556526,-84.281846,31.869603
14.962869,-121.570346,10.952550
4.285008,-124.379757,-5.018131
-19.155231,-89.297578,-60.757560
-13.823832,-116.232500,-49.768072
6.315810,-120.386613,-37.590328
15.285604,-119.455519,-18.854076
29.832304,-110.705391,-28.169227
43.267535,-98.958254,-35.297566
54.406041,-85.621877,-39.315890
81.648946,-64.060984,-34.537190
62.800816,-76.629963,-41.833956
90.107415,-52.140944,-28.718455
92.815360,-51.040822,-45.750447
78.326165,-66.682398,-20.985973
13.454315,-59.260563,-57.302300
-3.773487,-62.104989,-60.062891
29.591984,-53.591836,-60.429353
43.892796,-50.386314,-63.863936
60.917967,-48.196535,-68.293911
71.769967,-62.840246,-49.694572
69.578048,-57.015617,-62.921713
-18.321682,-73.740457,-46.674890
-14.297420,-68.894856,-54.183818
62.407153,-77.773191,-33.834908
