X,Y,Z
64.398342,-55.936018,-47.003514
5.571963,-40.067780,-23.446882
6.577360,-36.246927,-24.497631
15.808896,-24.778021,-17.486858
19.782528,-24.598846,-8.681264
8.890557,-50.494252,-5.325433
38.970976,-29.751668,2.537068
35.142645,-18.232337,-9.423767
46.656983,-40.169400,-38.243234
68.095824,-66.464750,-20.730390
60.570936,-76.600207,-40.616923
59.158488,-55.554561,-2.948314
69.631058,-49.888081,-30.269372
58.661042,-33.220355,-20.654967
56.298523,-61.349445,-50.732634
40.744321,-49.025195,-41.593667
28.406821,-16.952841,-24.775100
61.557774,-77.832122,-31.162451
68.581226,-52.514684,-38.790433
52.832643,-34.795153,-31.505414
14.680463,-46.810190,2.207962
6.693161,-49.245488,-14.680229
10.166194,-52.958617,-5.455098
18.157876,-52.071710,4.977247
2.979449,-55.966124,-10.193586
7.254499,-54.103766,-0.782163
14.112840,-53.644369,6.525463
15.912261,-60.690804,5.255250
5.558160,-61.081930,-7.537918
6.479251,-60.854251,-14.693206
19.075238,-59.912427,1.281506
10.232130,-64.750962,-9.155560
19.995489,-38.326472,8.069088
37.373251,-45.122642,9.636661
11.137910,-66.534726,-4.417422
49.229558,-24.931484,-15.031637
29.072732,-43.780202,-40.738892
42.200306,-24.410818,-27.660972
49.710288,-49.874087,4.798697
55.818168,-49.074530,-41.083652
64.563028,-62.361233,-11.640045
65.289298,-42.912861,-25.682071
49.624088,-54.851375,-45.061091
60.315616,-43.448475,-33.776986
17.020940,-40.130432,-41.314293
8.157530,-51.753216,-17.702697
11.615125,-43.569464,-35.622099
35.762849,-55.578344,8.759962
25.045102,-58.377464,4.096313
10.963993,-30.376442,-22.387952
71.715416,-57.329202,-25.923656
61.497808,-41.920079,-9.790427
21.274918,-30.796070,4.059070
59.677732,-71.060863,-48.424857
71.133212,-65.481762,-49.631696
51.619637,-34.826807,-2.517925
67.605964,-50.368021,-17.363993
61.152890,-75.227047,-21.681881
50.314141,-68.746680,-1.604120
42.060273,-62.620448,6.153297
57.106033,-72.083864,-11.009386
19.149269,-43.271227,7.427781
27.196565,-48.813370,8.043667
5.316916,-45.959952,-19.931365
5.772354,-46.046535,-26.151273
36.665174,-31.165288,-37.838152
21.767568,-22.600169,-34.706824
70.466425,-71.990695,-32.224791
70.350118,-74.520302,-38.093259
73.769144,-62.354877,-36.030475
