X,Y,Z
73.644830,-53.866807,-52.917496
-1.866587,-34.855798,-20.942586
-0.665228,-30.811838,-22.080648
9.720298,-18.043465,-13.540105
14.712821,-18.722138,-3.929219
2.066367,-47.434697,-1.756936
40.253759,-21.408623,10.097423
35.139283,-9.547719,-5.175897
50.502624,-35.536480,-41.009070
79.652843,-66.948538,-21.966125
70.592063,-79.658268,-46.017415
67.458357,-53.682425,0.671891
79.696515,-47.328062,-32.580204
65.199999,-27.179970,-19.575187
63.975980,-61.095192,-57.828308
43.467348,-46.175996,-45.217922
25.997407,-9.214199,-22.211732
71.981328,-80.704108,-34.924887
79.053187,-49.920969,-42.878874
58.139643,-28.683865,-32.325425
8.875975,-43.650714,7.535838
-0.448203,-45.852372,-11.989664
3.617457,-50.000073,-1.996518
13.294383,-48.969790,10.842012
-4.989823,-54.012761,-7.874031
-0.227413,-51.425806,3.324398
8.286969,-50.978086,12.538911
11.578611,-59.099035,10.621704
-1.283759,-60.055708,-5.041859
-0.721868,-59.077184,-12.155746
15.213306,-57.201457,6.062109
4.283091,-63.396632,-6.260114
15.770343,-33.571520,14.053318
38.792554,-40.192141,18.262909
5.853464,-65.963349,-1.063110
52.486724,-18.427392,-12.373508
28.513634,-40.213787,-41.837328
43.742782,-18.141712,-26.356722
55.409605,-46.522644,10.322717
62.498387,-45.636193,-45.997507
74.781860,-61.688369,-10.648462
73.856120,-38.967267,-26.719095
54.864274,-53.196809,-51.160722
67.773520,-39.145709,-36.480412
12.852700,-35.448635,-42.332829
1.557164,-48.480400,-15.492498
5.973083,-39.112189,-35.674205
37.429260,-52.712281,14.621172
22.851711,-55.220821,8.980256
4.383315,-23.969538,-19.735449
82.797129,-56.087996,-27.634353
69.096633,-37.588075,-7.346965
17.198882,-25.226145,9.397134
69.372564,-73.274497,-55.504925
82.255950,-65.217773,-56.273344
56.857993,-28.932222,1.830373
77.069373,-47.716046,-17.289147
71.707612,-78.006228,-23.256575
57.370262,-69.490356,1.144874
46.864779,-61.514964,10.652247
66.734944,-73.855646,-10.338451
14.573939,-39.400924,13.484776
25.026951,-44.803331,14.394577
-2.484589,-41.919916,-17.551745
-1.804417,-41.858477,-24.622556
37.303637,-25.726422,-37.978937
18.156385,-15.519859,-33.630000
82.013072,-72.889882,-36.156994
81.771892,-76.607153,-42.829088
86.017276,-61.884389,-39.964985
17.581871,-45.110214,-34.626547
6.048730,-52.525346,-24.600360
10.159714,-46.704020,-32.062310
5.467562,-49.441121,-28.393445
9.507667,-58.468072,-16.830490
17.941993,-58.575820,-1.726107
14.312884,-60.122349,-8.902252
34.202703,-63.821807,4.632018
25.514288,-58.565616,0.690813
22.832597,-61.634302,-9.893516
30.552355,-63.931880,-10.677978
18.735062,-57.378441,-20.347546
26.793160,-61.225421,-21.218837
15.884696,-53.177572,-26.878238
23.382716,-53.466252,-29.361759
56.612477,-78.325654,-39.242493
55.034405,-64.239750,-50.613983
60.714229,-80.760198,-32.286224
55.772045,-71.574316,-47.446049
62.346082,-79.560603,-24.374392
47.489297,-60.517750,-46.056773
57.690664,-79.216277,-18.100315
50.983856,-78.697728,-26.990070
48.001042,-74.506891,-34.681201
47.060975,-67.666780,-41.013858
38.403204,-54.360182,-40.617154
40.920626,-70.143943,-29.937525
43.354974,-75.571319,-20.910284
49.129200,-76.137150,-7.162466
38.731579,-63.494230,-36.008754
40.806998,-69.704617,0.032199
36.331021,-70.674709,-14.080847
33.979955,-65.869298,-25.803123
31.912738,-58.423600,-31.929104
28.566076,-48.304670,-36.448332
55.843880,-89.326840,-24.403533
-6.164522,-71.497972,-13.943675
-20.495684,-69.247173,-41.106443
-5.836613,-51.024853,-37.872667
-14.720814,-77.065006,-53.469141
42.057269,-89.120405,-4.919054
39.372946,-82.991648,-64.340018
-0.395820,-45.902760,-39.834426
32.572287,-97.778827,-13.256743
-2.620856,-56.016363,-24.859208
5.700625,-83.560752,37.123612
21.794869,-71.707602,37.056743
13.072271,-66.845217,27.794685
-4.458969,-63.731594,-17.297662
-5.236513,-95.660572,11.912130
27.479474,-89.833958,19.585538
-16.820471,-82.607881,-20.853845
55.798745,-89.469851,-35.923349
-9.874108,-76.503009,-14.566537
2.309776,-76.091129,30.480487
6.713856,-70.819778,27.138707
-5.829913,-85.614694,-3.270898
13.780436,-99.184414,10.559261
0.836625,-81.532836,33.000512
13.956805,-80.703529,39.465892
18.900069,-63.831584,29.613973
-0.789132,-81.387214,-58.598801
33.587486,-88.704443,7.804403
23.175732,-99.899159,-0.806503
5.985133,-101.775693,-28.289968
50.090144,-89.015032,-14.922172
42.634973,-94.635142,-23.234494
15.106408,-82.115958,-60.755167
45.893193,-89.851367,-45.625434
35.134935,-96.057210,-41.426438
29.858422,-81.488256,-62.723728
-1.187834,-56.490943,-22.888170
34.986255,-52.611178,-51.660608
46.722865,-59.169948,-57.080461
20.500652,-47.071078,-48.471957
6.887189,-43.332110,-46.051075
56.778174,-69.264402,-61.404823
19.828726,-100.661555,-34.991393
-2.519596,-65.613794,-13.753781
1.604816,-72.717745,-5.864584
65.101816,-84.915019,-25.194693
-18.570528,-96.761412,-42.728097
51.507048,-80.259937,-0.749169
-23.246478,-80.779299,-30.363823
63.122290,-83.475591,-46.755007
65.326527,-86.493142,-33.603433
-4.740639,-96.492632,-48.443508
40.634789,-74.446712,9.476683
29.377905,-91.504356,-56.620418
59.221695,-82.868042,-12.566743
42.147081,-88.181692,-59.312113
9.563816,-70.785360,4.275237
11.797447,-95.029123,-53.450308
64.519916,-76.606161,-57.873066
20.211178,-62.375257,14.388011
33.835852,-67.895288,23.369724
-3.745450,-50.393569,-31.903747
-2.025836,-49.624850,-31.083260
7.318791,-53.812335,-36.613735
2.823943,-59.743404,-27.608693
13.054185,-53.835937,-41.552511
2.467157,-55.267081,-32.757813
6.150264,-65.653646,-17.789597
9.554512,-71.924980,-8.479691
12.998229,-71.995538,0.465202
21.046849,-71.778985,3.453819
29.778260,-74.680373,5.238699
18.417147,-71.338175,-10.831426
25.642290,-75.503744,-11.756375
14.209484,-65.846847,-21.809513
20.513351,-70.365533,-25.510065
11.213696,-61.761406,-29.598051
18.693048,-64.008792,-33.494996
50.950113,-70.938576,-52.760527
56.420142,-85.385189,-26.964238
51.603387,-82.548759,-42.068095
55.974547,-85.913164,-33.613969
52.447790,-76.744955,-50.281962
43.083521,-67.337647,-51.551544
51.816325,-85.393302,-20.758051
43.317631,-75.628129,-45.838267
44.268820,-81.923014,-38.189565
47.268140,-84.554001,-29.476185
33.930565,-62.890197,-47.692671
36.298311,-79.613555,-33.580592
39.239100,-82.870457,-22.872930
45.100982,-83.827094,-9.140542
35.515533,-72.029081,-41.449367
37.823201,-79.226650,-0.824625
32.145215,-80.348343,-15.805708
28.069313,-76.139324,-28.254046
26.698263,-68.347295,-37.064279
22.950160,-58.112497,-44.407452
-1.647009,-87.451323,11.698340
18.542624,-89.157721,29.242300
28.796604,-71.141489,29.564736
13.387794,-69.475641,16.320163
6.087993,-97.045389,25.006641
21.407891,-66.219112,22.082553
26.398742,-101.056511,-23.240053
37.862412,-96.425410,-31.584621
13.407969,-103.125354,-13.567495
47.197921,-91.820692,-36.288020
1.689086,-100.653762,-2.555038
-8.694663,-100.673061,-19.213147
-23.378577,-92.761527,-32.831930
-21.281969,-73.703629,-46.788541
-2.144153,-59.549636,-52.264010
25.665614,-66.250182,-57.319558
11.319669,-63.206812,-53.360538
37.724247,-71.011383,-61.547829
-15.684461,-59.619802,-41.703699
49.040883,-76.229645,-65.495272
54.131001,-83.029239,-58.701211
56.178349,-85.482382,-47.227492
-11.336989,-59.550877,-46.910446
-15.824063,-97.864914,-11.521828
48.067370,-91.694860,-28.994086
4.971366,-77.459785,9.857418
50.090271,-29.734105,-48.541623
71.722046,-52.264563,8.458383
68.803789,-19.285924,-17.252859
41.995755,-39.872752,-53.617742
59.460543,-19.230053,-36.957074
56.310122,-10.530327,-9.766743
27.240331,-34.018419,-49.853873
44.138660,-8.591623,-29.758500
59.241292,-43.935348,19.114629
61.493989,-39.498158,-52.728807
80.180536,-59.356938,-4.643581
77.541112,-30.463163,-24.113358
53.866908,-47.657191,-57.735289
69.752106,-29.992058,-41.395721
73.819955,-33.082344,-1.949947
60.256997,-23.520529,8.333963
83.358869,-43.940421,-12.195909
36.690236,-19.585505,-45.108635
73.572043,-48.692973,-58.516156
86.538482,-66.715737,-19.196522
83.886320,-41.516430,-31.225809
64.977863,-56.903020,-63.733596
